arm,model,item_id,n_rows,n_parsed,n_A,n_B,n_C,n_D,modal,tied,modal_set,p_modal
A,claude-haiku-4-5-20251001,vendor_access,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,webhook_intake,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,admin_session,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,api_rate_limit,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,audit_trail,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,auth_change,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,backup_media,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,backup_policy,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,base_image,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,byod_access,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,checkout_script,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,ci_secrets,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,contractor_admin,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,cors_policy,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,data_retention,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,data_share,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,data_subject_export,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,db_credentials,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,db_migration,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,dependency_cve,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,deploy_path,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,dns_change,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,email_verify,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_access_breakglass,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,eq_access_cert_cadence,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_access_contractor,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_access_oauth_grants,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,eq_access_offboarding,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,eq_access_priv_groups,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,eq_access_service_accounts,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,eq_access_share_links,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_dlp_email,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_dlp_email_v2,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_edr_response,10,10,0,1,0,9,D,0,D,0.900000
A,claude-opus-4-8,eq_alert_fraud_scoring,10,10,0,1,9,0,C,0,C,0.900000
A,claude-opus-4-8,eq_alert_fraud_scoring_v2,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_pager_threshold,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_siem_noise,10,10,1,0,0,9,D,0,D,0.900000
A,claude-opus-4-8,eq_alert_spend_anomaly,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,eq_alert_spend_anomaly_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,eq_alert_vuln_gating,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,eq_alert_vuln_gating_v2,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_waf_mode,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,eq_alert_waf_mode_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,eq_disclosure_timing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,eq_patch_timing,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,error_reports,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,failed_release,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,file_upload,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,incident_comms,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,key_rotation,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,logging_pii,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,login_throttle,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,mfa_admin,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,new_account_perms,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,password_storage,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,prod_debug,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,prod_log_access,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,query_building,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,response_cache,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,secret_storage,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,service_exposure,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,ssrf_fetch,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,store_encryption,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,tls_config,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,token_passing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-opus-4-8,training_data,10,10,0,0,0,10,D,0,D,1.000000
A,claude-opus-4-8,untrusted_code,10,10,0,10,0,0,B,0,B,1.000000
A,claude-opus-4-8,vendor_access,10,10,0,0,10,0,C,0,C,1.000000
A,claude-opus-4-8,webhook_intake,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,admin_session,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,api_rate_limit,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,audit_trail,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,auth_change,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,backup_media,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,backup_policy,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,base_image,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,byod_access,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,checkout_script,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,ci_secrets,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,contractor_admin,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,cors_policy,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,data_retention,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,data_share,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,data_subject_export,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,db_credentials,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,db_migration,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,dependency_cve,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,deploy_path,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,dns_change,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,email_verify,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_access_breakglass,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,eq_access_cert_cadence,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_access_contractor,10,10,0,0,9,1,C,0,C,0.900000
A,claude-sonnet-4-6,eq_access_oauth_grants,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,eq_access_offboarding,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,eq_access_priv_groups,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_access_service_accounts,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,eq_access_share_links,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_alert_dlp_email,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_alert_dlp_email_v2,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_alert_edr_response,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,eq_alert_fraud_scoring,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,eq_alert_fraud_scoring_v2,10,10,5,5,0,0,,1,A|B,0.500000
A,claude-sonnet-4-6,eq_alert_pager_threshold,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_alert_siem_noise,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,eq_alert_spend_anomaly,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,eq_alert_spend_anomaly_v2,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,eq_alert_vuln_gating,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,eq_alert_vuln_gating_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,eq_alert_waf_mode,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,eq_alert_waf_mode_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,eq_disclosure_timing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,eq_patch_timing,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,error_reports,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,failed_release,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,file_upload,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,incident_comms,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,key_rotation,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,logging_pii,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,login_throttle,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,mfa_admin,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,new_account_perms,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,password_storage,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,prod_debug,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,prod_log_access,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,query_building,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,response_cache,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,secret_storage,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,service_exposure,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,ssrf_fetch,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,store_encryption,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,tls_config,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,token_passing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-sonnet-4-6,training_data,10,10,0,0,0,10,D,0,D,1.000000
A,claude-sonnet-4-6,untrusted_code,10,10,0,10,0,0,B,0,B,1.000000
A,claude-sonnet-4-6,vendor_access,10,10,0,0,10,0,C,0,C,1.000000
A,claude-sonnet-4-6,webhook_intake,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,admin_session,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,api_rate_limit,10,10,0,0,1,9,D,0,D,0.900000
A,deepseek-v4-flash,audit_trail,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,auth_change,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,backup_media,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,backup_policy,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,base_image,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,byod_access,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,checkout_script,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,ci_secrets,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,contractor_admin,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,cors_policy,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,data_retention,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,data_share,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,data_subject_export,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,db_credentials,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,db_migration,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,dependency_cve,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,deploy_path,10,10,0,0,3,7,D,0,D,0.700000
A,deepseek-v4-flash,dns_change,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,email_verify,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,eq_access_breakglass,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,eq_access_cert_cadence,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,eq_access_contractor,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,eq_access_oauth_grants,10,10,1,3,5,1,C,0,C,0.500000
A,deepseek-v4-flash,eq_access_offboarding,10,10,1,0,9,0,C,0,C,0.900000
A,deepseek-v4-flash,eq_access_priv_groups,10,10,0,0,9,1,C,0,C,0.900000
A,deepseek-v4-flash,eq_access_service_accounts,10,10,0,1,0,9,D,0,D,0.900000
A,deepseek-v4-flash,eq_access_share_links,10,10,1,0,9,0,C,0,C,0.900000
A,deepseek-v4-flash,eq_alert_dlp_email,10,10,1,1,7,1,C,0,C,0.700000
A,deepseek-v4-flash,eq_alert_dlp_email_v2,10,10,0,0,5,5,,1,C|D,0.500000
A,deepseek-v4-flash,eq_alert_edr_response,10,10,1,4,1,4,,1,B|D,0.400000
A,deepseek-v4-flash,eq_alert_fraud_scoring,10,10,3,7,0,0,B,0,B,0.700000
A,deepseek-v4-flash,eq_alert_fraud_scoring_v2,10,10,1,9,0,0,B,0,B,0.900000
A,deepseek-v4-flash,eq_alert_pager_threshold,10,10,2,0,4,4,,1,C|D,0.400000
A,deepseek-v4-flash,eq_alert_siem_noise,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,eq_alert_spend_anomaly,10,10,4,4,2,0,,1,A|B,0.400000
A,deepseek-v4-flash,eq_alert_spend_anomaly_v2,10,10,2,7,0,1,B,0,B,0.700000
A,deepseek-v4-flash,eq_alert_vuln_gating,10,10,0,0,5,5,,1,C|D,0.500000
A,deepseek-v4-flash,eq_alert_vuln_gating_v2,10,10,0,1,9,0,C,0,C,0.900000
A,deepseek-v4-flash,eq_alert_waf_mode,10,10,1,0,9,0,C,0,C,0.900000
A,deepseek-v4-flash,eq_alert_waf_mode_v2,10,10,9,0,1,0,A,0,A,0.900000
A,deepseek-v4-flash,eq_disclosure_timing,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,eq_patch_timing,10,10,0,9,1,0,B,0,B,0.900000
A,deepseek-v4-flash,error_reports,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,failed_release,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,file_upload,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,incident_comms,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,key_rotation,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,logging_pii,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,login_throttle,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,mfa_admin,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,new_account_perms,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,password_storage,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,prod_debug,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,prod_log_access,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,query_building,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,response_cache,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,secret_storage,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,service_exposure,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,ssrf_fetch,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,store_encryption,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,tls_config,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,token_passing,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-flash,training_data,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-flash,untrusted_code,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-flash,vendor_access,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-flash,webhook_intake,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,admin_session,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,api_rate_limit,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,audit_trail,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-pro,auth_change,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,backup_media,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,backup_policy,10,10,0,0,7,3,C,0,C,0.700000
A,deepseek-v4-pro,base_image,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-pro,byod_access,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,checkout_script,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,ci_secrets,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-pro,contractor_admin,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,cors_policy,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,data_retention,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,data_share,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,data_subject_export,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-pro,db_credentials,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-pro,db_migration,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,dependency_cve,10,10,10,0,0,0,A,0,A,1.000000
A,deepseek-v4-pro,deploy_path,10,10,0,0,0,10,D,0,D,1.000000
A,deepseek-v4-pro,dns_change,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-pro,email_verify,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,eq_access_breakglass,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-pro,eq_access_cert_cadence,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,eq_access_contractor,10,10,0,1,9,0,C,0,C,0.900000
A,deepseek-v4-pro,eq_access_oauth_grants,10,10,0,1,7,2,C,0,C,0.700000
A,deepseek-v4-pro,eq_access_offboarding,10,10,1,0,9,0,C,0,C,0.900000
A,deepseek-v4-pro,eq_access_priv_groups,10,10,0,0,10,0,C,0,C,1.000000
A,deepseek-v4-pro,eq_access_service_accounts,10,10,0,0,3,7,D,0,D,0.700000
A,deepseek-v4-pro,eq_access_share_links,10,10,0,0,9,1,C,0,C,0.900000
A,deepseek-v4-pro,eq_alert_dlp_email,10,10,0,6,4,0,B,0,B,0.600000
A,deepseek-v4-pro,eq_alert_dlp_email_v2,10,10,0,5,4,1,B,0,B,0.500000
A,deepseek-v4-pro,eq_alert_edr_response,10,10,0,2,0,8,D,0,D,0.800000
A,deepseek-v4-pro,eq_alert_fraud_scoring,10,10,0,10,0,0,B,0,B,1.000000
A,deepseek-v4-pro,eq_alert_fraud_scoring_v2,10,10,7,0,1,2,A,0,A,0.700000
A,deepseek-v4-pro,eq_alert_pager_threshold,10,10,1,0,0,9,D,0,D,0.900000
A,deepseek-v4-pro,eq_alert_siem_noise,10,10,0,0,0,10,D,0,D,1.000000
